"","id","count_of_friends"
"1",63724618,9754
"2",107769742,9510
"3",54155,9509
"4",560894,9288
"5",58922187,9072
"6",86187388,8961
"7",54672318,8883
"8",906261,8856
"9",313266,8771
"10",259671,8462
"11",101563209,8364
"12",338264,8213
"13",138605064,8045
"14",19030752,7547
"15",449947,7426
"16",923365,7335
"17",104802115,7073
"18",220660,7055
"19",147268521,6952
"20",246973,6942
"21",158523734,6754
"22",9525882,6677
"23",55904552,6292
"24",32282503,6160
"25",137088099,6148
"26",683181,6112
"27",333800,5992
"28",367221,5942
"29",24878150,5922
"30",634318,5754
"31",497881,5731
"32",155288510,5446
"33",141284576,5435
"34",145278508,5344
"35",107201251,5299
"36",19461842,5276
"37",71089982,5131
"38",84782866,5005
"39",404983,4803
"40",388312,4762
"41",140986459,4708
"42",36680820,4642
"43",64515421,4627
"44",549782,4554
"45",583218,4539
"46",517066,4325
"47",147638627,4210
"48",73957031,4172
"49",751832,4160
"50",166756,4159
"51",140313345,4134
"52",152739664,4100
"53",101098100,3970
"54",59891053,3921
"55",10398163,3784
"56",23810,3656
"57",164054148,3607
"58",34248002,3578
"59",123094969,3561
"60",100497044,3538
"61",56407423,3371
"62",103946132,3261
"63",166622609,3261
"64",134310124,3258
"65",134931924,2968
"66",136910723,2919
"67",246254066,2866
"68",29778778,2856
"69",176622,2841
"70",55886312,2820
"71",24212,2770
"72",2899,2692
"73",111193791,2536
"74",629022,2469
"75",826320,2443
"76",550279,2440
"77",606747,2363
"78",987406,2281
"79",819,2172
"80",38141,2106
"81",57422006,1953
"82",83285880,1923
"83",913522,1921
"84",474881,1769
"85",77126978,1695
"86",26825925,1652
"87",951316,1627
"88",5565,1580
"89",267439,1527
"90",343679,1190
"91",537189,1149
"92",43870,1021
"93",517593,1021
"94",677039,971
"95",8,942
"96",781118,872
"97",587964,871
"98",67775,840
"99",36722,746
"100",114104,726
"101",158921565,723
"102",422524,707
"103",513898,699
"104",29898,680
"105",160039,655
"106",406358,644
"107",129049,611
"108",327979,611
"109",370235,611
"110",972948,606
"111",618925,594
"112",827102,575
"113",951495,574
"114",606978,553
"115",88299,550
"116",616801,538
"117",17444190,517
"118",623119,509
"119",733555,490
"120",538635,487
"121",16929,483
"122",874083,475
"123",514900,474
"124",632361,466
"125",850075,464
"126",71278,458
"127",593441,458
"128",83593,453
"129",229032,443
"130",106818,441
"131",31525,431
"132",33825,416
"133",244788,416
"134",967437,416
"135",193860,409
"136",745930,408
"137",986684,406
"138",126117,401
"139",387352,401
"140",97892,400
"141",824640,398
"142",118276,394
"143",49432,387
"144",259568,378
"145",400679,375
"146",986728,371
"147",684263,370
"148",22078,367
"149",348584,351
"150",759194,350
"151",127525,349
"152",271857,344
"153",375626,341
"154",596320,332
"155",203424,329
"156",421976,329
"157",879384,329
"158",656337,322
"159",818224,318
"160",514717,313
"161",646937,309
"162",163958630,308
"163",217959,307
"164",758812,305
"165",593462,303
"166",450040,301
"167",156789,297
"168",609089,297
"169",513540,293
"170",2501,292
"171",291469,292
"172",591205,290
"173",611946,283
"174",146098,280
"175",452721,280
"176",181553,278
"177",280160,278
"178",521660,277
"179",328482,275
"180",56064,274
"181",101863,270
"182",774693,269
"183",89126,263
"184",740743,262
"185",945952,262
"186",83561114,259
"187",583724,257
"188",701568,257
"189",170179,255
"190",111584,252
"191",381608,248
"192",163418,245
"193",843159,245
"194",75394,244
"195",339935,240
"196",598046,239
"197",608586,238
"198",845904,233
"199",123194,231
"200",265448,231
"201",573264,226
"202",253057,225
"203",682138,224
"204",123284,222
"205",310756,220
"206",754500,220
"207",326055,219
"208",8876,216
"209",388678,216
"210",867997,215
"211",187649,209
"212",377745,209
"213",929124,208
"214",100606,206
"215",535616,203
"216",963597,203
"217",729280,202
"218",436340,201
"219",629005,197
"220",267899,194
"221",852550,193
"222",259323,191
"223",979784,190
"224",628623,188
"225",104383,181
"226",970462,181
"227",308943,180
"228",849250,180
"229",830950,175
"230",589010,173
"231",66081,171
"232",101018,169
"233",925911,167
"234",346091,166
"235",936504,166
"236",235870,164
"237",388310,163
"238",586127,161
"239",505251,160
"240",712059,160
"241",491322,157
"242",778805,155
"243",459449,154
"244",195616,149
"245",359788,142
"246",448111,142
"247",306459,141
"248",733070,139
"249",491041,138
"250",513625,138
"251",427701,133
"252",609128,131
"253",776250,131
"254",453845,124
"255",851968,124
"256",213154,119
"257",359878,116
"258",606025,114
"259",796499,101
"260",179431,100
"261",972734,97
"262",49468,96
"263",128222,96
"264",36413,94
"265",727821,94
"266",328799,93
"267",308735,89
"268",362772,89
"269",355130,88
"270",840825,84
"271",866979,83
"272",840624,71
"273",812705,70
"274",281040,69
"275",738586,67
"276",511161,66
"277",187167,65
"278",808913,64
"279",232187,63
"280",250165,59
"281",226619,55
"282",525888,54
"283",274934,45
"284",901680,43
"285",425806,41
"286",914634,33
"287",484583,9
"288",136584582,0
"289",44615,0
"290",137484,0
"291",151077,0
"292",285944,0
"293",339957,0
"294",388133,0
"295",470990,0
"296",575623,0
"297",690628,0
"298",728552,0
"299",869502,0
"300",982180,0
